Key,分類,ID,名稱,單位,備註,Tooltip文字
通用-MaxRunUp,通用,MaxRunUp,最大區間獲利,%,最大獲利,列出報酬率曲線中，每一段自低點上漲區間的累積報酬率變化，取最大值
通用-MaxRunUp_Amount,通用,MaxRunUp_Amount,最大區間獲利,$,不支援等比,列出報酬率曲線中，每一段自低點上漲區間的累積報酬率變化，取最大值
通用-MaxDrawdown,通用,MaxDrawdown,最大區間虧損,%,最大拉回,列出報酬率曲線中，每一段自高點回落區間的累積報酬率變化，取最小值
通用-MaxDrawdown_Amount,通用,MaxDrawdown_Amount,最大區間虧損,$,不支援等比,列出報酬率曲線中，每一段自高點回落區間的累積報酬率變化，取最小值
通用-BarsInBackTesting,通用,BarsInBackTesting,回測K線根數,根,,回測期間的K線根數
通用-AvgBarsInTrades,通用,AvgBarsInTrades,全部交易的平均持倉K線根數,根,,全部交易的平均持倉K線根數
通用-AvgBarsInWinningTrades,通用,AvgBarsInWinningTrades,獲利交易的平均持倉K線根數,根,,獲利交易的平均持倉K線根數
通用-AvgBarsInLosingTrades,通用,AvgBarsInLosingTrades,虧損交易的平均持倉K線根數,根,,虧損交易的平均持倉K線根數
通用-ActualTradingDays,通用,ActualTradingDays,實際發生交易天數,天,,實際發生交易天數。統計回測期間總共有多少天有交易
通用-PercentageOfTradingDays,通用,PercentageOfTradingDays,交易天數佔回測區間比例,%,,交易天數佔回測區間比例。實際發生的交易天數佔回測期間可交易日的百分比
通用-AnnualTradeCount,通用,AnnualTradeCount,年均交易數,次,年均訊號數,每年平均會發生交易的次數
通用-SumOfIndividualReturns,通用,SumOfIndividualReturns,每筆報酬加總,%,,每次交易的報酬率加總
通用-AvgOfIndividualReturns,通用,AvgOfIndividualReturns,平均單筆報酬,%,,每次交易的平均報酬率
通用-SimpleAnuualPercentageYield,通用,SimpleAnuualPercentageYield,平均年化報酬,%,,以簡單算術平均計算每年的報酬，不考慮波動對長期增長的影響
通用-GeometricAnuualPercentageYield,通用,GeometricAnuualPercentageYield,複利年化報酬,%,,以幾何平均計算每年的報酬，考慮複利與波動，反映資金的實際長期增長
通用-PercentProfitable,通用,PercentProfitable,勝率,%,,獲利交易次數/總交易次數
通用-RiskReturnRatio,通用,RiskReturnRatio,風報比,,,報酬率/ABS(最大區間虧損)
通用-StandardDeviation,通用,StandardDeviation,標準差,,,衡量報酬率波動程度，反映報酬率偏離平均值的分散情況
通用-Beta,通用,Beta,貝他,,,衡量資產相對於市場波動性的指標，用來評估資產的系統性風險
通用-Alpha,通用,Alpha,超額報酬,%,,實際報酬率與根據資本資產定價模型(CAPM)計算出的預期報酬率之間的差異
通用-SharpeRatio,通用,SharpeRatio,夏普比率,,,衡量每單位風險所獲得的超額報酬
通用-SortinoRatio,通用,SortinoRatio,索提諾比率,,,衡量每單位下行風險所獲得的超額報酬
通用-ConsecutiveTimes,通用,ConsecutiveTimes,連續次數,次,不支援整體統計,單一商品連續賺或賠的交易筆數
通用-MaximumConsecutiveGains,通用,MaximumConsecutiveGains,最大連續獲利次數,次,不支援整體統計,單一商品連續獲利的交易筆數
通用-MaximumConsecutiveLosses,通用,MaximumConsecutiveLosses,最大連續虧損次數,次,不支援整體統計,單一商品連續虧損的交易筆數
通用-DaysOfNewHighs,通用,DaysOfNewHighs,創新高天數,天,,報酬率創新高的天數
通用-DaysWithoutNewHighs,通用,DaysWithoutNewHighs,未創新高天數,天,,最近一期報酬率未創新高天數
通用-MaximumDaysWithoutNewHighs,通用,MaximumDaysWithoutNewHighs,最大未創新高天數,天,,所有報酬率未創新高的區間天數的最大值
通用-AverageDaysWithoutNewHighs,通用,AverageDaysWithoutNewHighs,平均未創新高天數,天,,所有報酬率未創新高的區間天數的平均值
通用-MaxDrawdownDuration,通用,MaxDrawdownDuration,MDD區間天數,天,不支援單商品統計,策略在遭遇最大區間虧損時下跌的天數
每日報表-TDate,每日報表,TDate,日期,,,
每日報表-RN,每日報表,RN,當日報酬率,%,,
每日報表-RN_Amount,每日報表,RN_Amount,當日損益,$,,
每日報表-NetProfit,每日報表,NetProfit,累積報酬率,%,,
每日報表-NetProfit_Amount,每日報表,NetProfit_Amount,累積損益,$,,
每日報表-TotalRate_BuyAndHold,每日報表,TotalRate_BuyAndHold,,,,
每日報表-TotalRate_Index,每日報表,TotalRate_Index,,,,
每日報表-RN_TSE,每日報表,RN_TSE,,,,
每日報表-Drawdown,每日報表,Drawdown,區間虧損,%,,
每日報表-Drawdown_Amount,每日報表,Drawdown_Amount,區間虧損,$,,
每日報表-MaxDrawdown,每日報表,MaxDrawdown,最大區間虧損,%,,
每日報表-MaxDrawdown_Amount,每日報表,MaxDrawdown_Amount,最大區間虧損,$,,
每日報表-InvestAmount,每日報表,InvestAmount,投入金額,$,,
每日報表-UnRealizedTradeCount,每日報表,UnRealizedTradeCount,持倉筆數,次,,
