商品統計表,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
商品名稱,淨利,毛利,獲利因子,毛損,總交易成本,最大投入金額,總交易次數,獲利交易次數,勝率,虧損交易次數,平均交易,平均獲利交易,平均獲利虧損比,平均虧損交易,最大獲利交易,最大虧損交易,最大區間獲利,最大區間虧損,全部交易的平均持倉K線根數,獲利交易的平均持倉K線根數,回測K線根數,虧損交易的平均持倉K線根數,時間加權報酬,最大投入報酬率,買進持有報酬,大盤指數報酬
Microsoft(MSFT.US),55,289,1.24,-234,0,455.83,31,11,35.48%,20,2,26,2.25,-12,74,-42,125,-110,12.90,18.36,752,9.90,"19,124",55,"53,469","165,565"
,0.06%,0.29%,,-0.23%,0.00%,,,,,,0.00%,0.03%,,-0.01%,0.07%,-0.04%,0.12%,-0.11%,,,,,19.12%,12.09%,53.47%,165.57%
Motorola Solutions(MSI.US),119,194,2.59,-75,0,375.59,25,12,48.00%,13,5,16,2.81,-6,40,-19,161,-133,18.28,27.67,752,9.62,"35,492",119,"50,737","165,565"
,0.12%,0.19%,,-0.07%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.04%,-0.02%,0.16%,-0.13%,,,,,35.49%,31.68%,50.74%,165.57%
M&T Bank(MTB.US),92,134,3.18,-42,0,158.58,27,16,59.26%,11,3,8,2.18,-4,18,-11,106,-29,16.70,24.13,752,5.91,"70,638",92,"75,431","165,565"
,0.09%,0.13%,,-0.04%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.11%,-0.03%,,,,,70.64%,57.84%,75.43%,165.57%
Mettler Toledo(MTD.US),-223,706,-0.76,-930,0,"1,684.28",27,9,33.33%,18,-8,78,1.52,-52,217,-151,456,-549,15.74,24.44,752,11.39,"-15,406",-223,"-15,931","165,565"
,-0.22%,0.71%,,-0.93%,0.00%,,,,,,-0.01%,0.08%,,-0.05%,0.22%,-0.15%,0.46%,-0.55%,,,,,-15.41%,-13.26%,-15.93%,165.57%
Micron(MU.US),263,386,3.13,-123,0,223.61,30,18,60.00%,12,9,21,2.09,-10,142,-48,270,-86,14.97,18.39,752,9.83,"277,201",263,"711,182","165,565"
,0.26%,0.39%,,-0.12%,0.00%,,,,,,0.01%,0.02%,,-0.01%,0.14%,-0.05%,0.27%,-0.09%,,,,,277.20%,117.60%,711.18%,165.57%
Norwegian Cruise Line Holdings(NCLH.US),11,30,1.58,-19,0,15.24,29,12,41.38%,17,0,3,2.24,-1,6,-4,17,-8,12.86,21.67,752,6.65,"94,079",11,"46,497","165,565"
,0.01%,0.03%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.02%,-0.01%,,,,,94.08%,72.24%,46.50%,165.57%
Nasdaq(NDAQ.US),-1,38,-0.98,-38,0,94.37,28,11,39.29%,17,-0,3,1.52,-2,9,-11,16,-17,14.61,21.09,752,10.41,254,-1,"51,287","165,565"
,-0.00%,0.04%,,-0.04%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.02%,,,,,0.25%,-0.64%,51.29%,165.57%
Nordson(NDSN.US),-3,114,-0.98,-117,0,305.54,31,15,48.39%,16,-0,8,1.04,-7,24,-16,57,-77,13.90,18.87,752,9.25,"-1,797",-3,"27,399","165,565"
,-0.00%,0.11%,,-0.12%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.02%,-0.02%,0.06%,-0.08%,,,,,-1.80%,-0.96%,27.40%,165.57%
NextEra Energy(NEE.US),8,49,1.20,-41,0,82.73,28,8,28.57%,20,0,6,3.00,-2,12,-7,29,-18,15.04,23.25,752,11.75,"10,595",8,"14,635","165,565"
,0.01%,0.05%,,-0.04%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.01%,-0.01%,0.03%,-0.02%,,,,,10.60%,9.89%,14.64%,165.57%
Newmont(NEM.US),-4,52,-0.94,-55,0,127.81,33,12,36.36%,21,-0,4,1.64,-3,12,-10,32,-20,13.48,18.17,752,10.81,"-7,112",-4,"135,523","165,565"
,-0.00%,0.05%,,-0.06%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.03%,-0.02%,,,,,-7.11%,-2.75%,135.52%,165.57%
Netflix(NFLX.US),26,84,1.45,-58,0,73.2,31,13,41.94%,18,1,6,2.00,-3,16,-10,60,-47,12.39,19.31,752,7.39,"67,334",26,"182,374","165,565"
,0.03%,0.08%,,-0.06%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.06%,-0.05%,,,,,67.33%,35.46%,182.37%,165.57%
NiSource(NI.US),4,15,1.43,-11,0,42.22,30,12,40.00%,18,0,1,2.14,-1,2,-2,9,-6,13.73,18.67,752,10.44,"12,357",4,"62,900","165,565"
,0.00%,0.01%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.01%,,,,,12.36%,10.59%,62.90%,165.57%
NIKE(NKE.US),-36,20,-0.36,-56,0,126,30,10,33.33%,20,-1,2,0.72,-3,7,-10,17,-44,13.23,18.80,752,10.45,"-37,241",-36,"-63,604","165,565"
,-0.04%,0.02%,,-0.06%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.04%,,,,,-37.24%,-28.48%,-63.60%,165.57%
Northrop Grumman(NOC.US),74,322,1.30,-248,0,667.57,26,10,38.46%,16,3,32,2.08,-16,124,-38,201,-81,14.50,25.30,752,7.75,"13,245",74,"25,142","165,565"
,0.07%,0.32%,,-0.25%,0.00%,,,,,,0.00%,0.03%,,-0.02%,0.12%,-0.04%,0.20%,-0.08%,,,,,13.25%,11.05%,25.14%,165.57%
ServiceNow(NOW.US),-24,116,-0.83,-140,0,204.06,32,11,34.38%,21,-1,11,1.59,-7,36,-23,57,-78,11.47,17.00,752,8.57,"-7,221",-24,"8,724","165,565"
,-0.02%,0.12%,,-0.14%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.04%,-0.02%,0.06%,-0.08%,,,,,-7.22%,-11.65%,8.72%,165.57%
NRG Energy(NRG.US),26,117,1.29,-91,0,136.96,27,11,40.74%,16,1,11,1.87,-6,60,-26,77,-51,15.37,19.18,752,12.75,"42,103",26,"335,137","165,565"
,0.03%,0.12%,,-0.09%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.06%,-0.03%,0.08%,-0.05%,,,,,42.10%,18.96%,335.14%,165.57%
Norfolk Southern(NSC.US),1,140,1.01,-139,0,324.7,30,13,43.33%,17,0,11,1.32,-8,26,-22,73,-72,12.87,19.77,752,7.59,"-4,629",1,"41,161","165,565"
,0.00%,0.14%,,-0.14%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.03%,-0.02%,0.07%,-0.07%,,,,,-4.63%,0.33%,41.16%,165.57%
NetApp(NTAP.US),18,105,1.21,-87,0,97.39,28,11,39.29%,17,1,10,1.86,-5,24,-25,51,-57,15.43,22.45,752,10.88,"25,317",18,"76,868","165,565"
,0.02%,0.11%,,-0.09%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.02%,-0.02%,0.05%,-0.06%,,,,,25.32%,18.39%,76.87%,165.57%
Northern Trust Corporation(NTRS.US),65,94,3.26,-29,0,102.36,27,14,51.85%,13,2,7,3.02,-2,18,-8,79,-24,15.26,21.00,752,9.08,"82,060",65,"95,994","165,565"
,0.07%,0.09%,,-0.03%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.08%,-0.02%,,,,,82.06%,63.87%,95.99%,165.57%
Nucor(NUE.US),62,150,1.71,-88,0,166.78,27,12,44.44%,15,2,13,2.14,-6,49,-16,69,-42,14.63,21.75,752,8.93,"48,431",62,"40,434","165,565"
,0.06%,0.15%,,-0.09%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.05%,-0.02%,0.07%,-0.04%,,,,,48.43%,37.39%,40.43%,165.57%
NVIDIA(NVDA.US),65,178,1.57,-113,0,137.58,30,12,40.00%,18,2,15,2.36,-6,39,-20,99,-71,15.23,23.83,752,9.50,"167,165",65,"649,639","165,565"
,0.06%,0.18%,,-0.11%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.04%,-0.02%,0.10%,-0.07%,,,,,167.16%,47.06%,649.64%,165.57%
"NVR, Inc.(NVR.US)",-821,"2,405",-0.75,"-3,226",0,"9,125.21",31,10,32.26%,21,-26,240,1.57,-154,696,-392,"1,489","-2,295",12.68,20.20,752,9.10,"-8,627",-821,"11,574","165,565"
,-0.82%,2.40%,,-3.23%,0.00%,,,,,,-0.03%,0.24%,,-0.15%,0.70%,-0.39%,1.49%,-2.29%,,,,,-8.63%,-9.00%,11.57%,165.57%
News Corp - Class B(NWS.US),11,21,2.22,-9,0,26.41,28,12,42.86%,16,0,2,2.96,-1,4,-1,12,-6,15.46,26.08,752,7.50,"49,071",11,"76,667","165,565"
,0.01%,0.02%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.01%,,,,,49.07%,42.90%,76.67%,165.57%
News Corp - Class A(NWSA.US),2,12,1.25,-10,0,28.83,29,11,37.93%,18,0,1,2.05,-1,3,-2,6,-5,13.34,21.82,752,8.17,"9,643",2,"54,135","165,565"
,0.00%,0.01%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.01%,,,,,9.64%,8.32%,54.14%,165.57%
NXP Semiconductors(NXPI.US),19,193,1.11,-174,0,235.98,27,9,33.33%,18,1,21,2.22,-10,48,-20,117,-109,13.48,22.78,752,8.83,"12,502",19,"32,935","165,565"
,0.02%,0.19%,,-0.17%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.05%,-0.02%,0.12%,-0.11%,,,,,12.50%,8.14%,32.93%,165.57%
Realty Income(O.US),-3,26,-0.89,-29,0,71.61,31,14,45.16%,17,-0,2,1.09,-2,5,-7,13,-16,15.58,17.71,752,13.82,"-6,921",-3,"1,539","165,565"
,-0.00%,0.03%,,-0.03%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.01%,-0.02%,,,,,-6.92%,-4.36%,1.54%,165.57%
Old Dominion Freight Line(ODFL.US),-75,130,-0.63,-206,0,300.92,29,8,27.59%,21,-3,16,1.66,-10,38,-52,55,-173,16.28,20.75,752,14.57,"-31,784",-75,"25,958","165,565"
,-0.08%,0.13%,,-0.21%,0.00%,,,,,,-0.00%,0.02%,,-0.01%,0.04%,-0.05%,0.06%,-0.17%,,,,,-31.78%,-25.06%,25.96%,165.57%
ONEOK(OKE.US),3,44,1.07,-41,0,84.95,30,14,46.67%,16,0,3,1.22,-3,11,-7,39,-41,13.80,17.57,752,10.50,"4,847",3,"29,647","165,565"
,0.00%,0.04%,,-0.04%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.04%,-0.04%,,,,,4.85%,3.38%,29.65%,165.57%
Omnicom Group(OMC.US),-27,40,-0.60,-67,0,114.94,37,11,29.73%,26,-1,4,1.41,-3,9,-7,23,-48,12.11,21.36,752,8.19,"-26,359",-27,"-16,887","165,565"
,-0.03%,0.04%,,-0.07%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.05%,,,,,-26.36%,-23.68%,-16.89%,165.57%
ON Semiconductor(ON.US),-19,73,-0.79,-92,0,115.99,41,11,26.83%,30,-0,7,2.16,-3,27,-9,41,-66,9.63,17.36,752,6.80,"-18,369",-19,"20,632","165,565"
,-0.02%,0.07%,,-0.09%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.03%,-0.01%,0.04%,-0.07%,,,,,-18.37%,-16.31%,20.63%,165.57%
Oracle(ORCL.US),89,228,1.64,-139,0,183.39,21,8,38.10%,13,4,28,2.67,-11,97,-24,176,-115,16.33,28.63,752,8.77,"86,334",89,"96,665","165,565"
,0.09%,0.23%,,-0.14%,0.00%,,,,,,0.00%,0.03%,,-0.01%,0.10%,-0.02%,0.18%,-0.12%,,,,,86.33%,48.68%,96.66%,165.57%
O'Reilly Automotive(ORLY.US),26,47,2.31,-20,0,81.85,28,15,53.57%,13,1,3,2.00,-2,10,-3,38,-14,13.89,19.93,752,6.92,"41,412",26,"55,873","165,565"
,0.03%,0.05%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.04%,-0.01%,,,,,41.41%,32.18%,55.87%,165.57%
Otis Worldwide(OTIS.US),7,38,1.24,-31,0,91.27,26,9,34.62%,17,0,4,2.34,-2,11,-7,25,-13,15.73,26.89,752,9.82,"9,289",7,"-5,691","165,565"
,0.01%,0.04%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.03%,-0.01%,,,,,9.29%,7.99%,-5.69%,165.57%
Occidental Petroleum(OXY.US),-10,20,-0.67,-29,0,66.75,26,8,30.77%,18,-0,2,1.50,-2,7,-4,13,-26,13.58,23.13,752,9.33,"-15,406",-10,"-7,791","165,565"
,-0.01%,0.02%,,-0.03%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.01%,-0.03%,,,,,-15.41%,-14.67%,-7.79%,165.57%
Palo Alto(PANW.US),12,134,1.10,-122,0,169.12,29,13,44.83%,16,0,10,1.35,-8,27,-29,76,-97,15.17,18.92,752,12.13,"20,256",12,"87,733","165,565"
,0.01%,0.13%,,-0.12%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.03%,-0.03%,0.08%,-0.10%,,,,,20.26%,7.13%,87.73%,165.57%
Paychex(PAYX.US),-54,36,-0.40,-90,0,169.5,33,9,27.27%,24,-2,4,1.07,-4,11,-15,25,-75,12.09,18.44,752,9.71,"-32,783",-54,"-14,839","165,565"
,-0.05%,0.04%,,-0.09%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.02%,0.02%,-0.08%,,,,,-32.78%,-31.66%,-14.84%,165.57%
PACCAR(PCAR.US),27,78,1.51,-52,0,108.62,28,11,39.29%,17,1,7,2.34,-3,15,-9,42,-40,15.18,24.64,752,9.06,"31,919",27,"70,691","165,565"
,0.03%,0.08%,,-0.05%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.04%,-0.04%,,,,,31.92%,24.42%,70.69%,165.57%
PG&E(PCG.US),5,10,1.97,-5,0,17.55,26,10,38.46%,16,0,1,3.15,-0,3,-1,8,-3,15.81,25.40,752,9.81,"37,570",5,59,"165,565"
,0.01%,0.01%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.00%,,,,,37.57%,29.29%,0.06%,165.57%
Public Service Enterprise(PEG.US),14,39,1.53,-25,0,69.83,28,11,39.29%,17,0,4,2.37,-2,7,-3,32,-21,14.18,20.64,752,10.00,"20,268",14,"22,672","165,565"
,0.01%,0.04%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.03%,-0.02%,,,,,20.27%,19.42%,22.67%,165.57%
PepsiCo(PEP.US),-29,53,-0.65,-82,0,192.46,28,10,35.71%,18,-1,5,1.17,-5,17,-17,28,-59,14.93,18.60,752,12.89,"-16,956",-29,"-17,539","165,565"
,-0.03%,0.05%,,-0.08%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.02%,-0.02%,0.03%,-0.06%,,,,,-16.96%,-14.88%,-17.54%,165.57%
Pfizer(PFE.US),-5,7,-0.55,-12,0,38,31,11,35.48%,20,-0,1,1.00,-1,2,-2,4,-8,12.35,19.82,752,8.25,"-15,811",-5,"-33,317","165,565"
,-0.01%,0.01%,,-0.01%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.00%,-0.01%,,,,,-15.81%,-14.05%,-33.32%,165.57%
Principal Financial(PFG.US),3,42,1.08,-39,0,98.14,31,12,38.71%,19,0,3,1.71,-2,12,-6,18,-21,12.58,19.67,752,8.11,"1,676",3,"29,441","165,565"
,0.00%,0.04%,,-0.04%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.02%,,,,,1.68%,3.20%,29.44%,165.57%
Procter & Gamble(PG.US),-24,47,-0.66,-72,0,183.63,31,10,32.26%,21,-1,5,1.39,-3,14,-11,19,-51,11.45,20.00,752,7.38,"-13,417",-24,"-7,969","165,565"
,-0.02%,0.05%,,-0.07%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.05%,,,,,-13.42%,-13.22%,-7.97%,165.57%
Progressive(PGR.US),10,128,1.08,-118,0,232.44,25,9,36.00%,16,0,14,1.93,-7,39,-21,87,-74,17.52,28.33,752,11.44,"8,671",10,"47,651","165,565"
,0.01%,0.13%,,-0.12%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.04%,-0.02%,0.09%,-0.07%,,,,,8.67%,4.28%,47.65%,165.57%
Parker Hannifin(PH.US),279,538,2.07,-259,0,767.09,39,16,41.03%,23,7,34,2.98,-11,75,-42,330,-134,10.51,17.75,752,5.48,"50,508",279,"197,145","165,565"
,0.28%,0.54%,,-0.26%,0.00%,,,,,,0.01%,0.03%,,-0.01%,0.08%,-0.04%,0.33%,-0.13%,,,,,50.51%,36.31%,197.15%,165.57%
PulteGroup(PHM.US),33,93,1.56,-59,0,115.02,30,15,50.00%,15,1,6,1.56,-4,16,-8,54,-35,13.87,17.27,752,10.47,"40,876",33,"104,587","165,565"
,0.03%,0.09%,,-0.06%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.05%,-0.03%,,,,,40.88%,28.99%,104.59%,165.57%
Packaging Corporation of America(PKG.US),27,94,1.41,-67,0,197.54,29,13,44.83%,16,1,7,1.73,-4,21,-19,66,-43,12.90,16.00,752,10.38,"20,293",27,"42,855","165,565"
,0.03%,0.09%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.02%,0.07%,-0.04%,,,,,20.29%,13.76%,42.86%,165.57%
Prologis(PLD.US),-32,74,-0.70,-106,0,180.37,30,11,36.67%,19,-1,7,1.21,-6,29,-26,35,-55,14.70,19.09,752,12.16,"-24,460",-32,"14,021","165,565"
,-0.03%,0.07%,,-0.11%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.03%,-0.03%,0.04%,-0.06%,,,,,-24.46%,-17.63%,14.02%,165.57%
Palantir Technologies(PLTR.US),139,156,9.16,-17,0,72.34,27,17,62.96%,10,5,9,5.39,-2,37,-7,156,-41,14.70,19.06,752,7.30,"567,084",139,"1,770,343","165,565"
,0.14%,0.16%,,-0.02%,0.00%,,,,,,0.01%,0.01%,,-0.00%,0.04%,-0.01%,0.16%,-0.04%,,,,,567.08%,192.63%,1770.34%,165.57%
Philip Morris International Inc.(PM.US),42,111,1.60,-69,0,145.34,29,13,44.83%,16,1,9,1.97,-4,35,-23,73,-50,14.21,19.23,752,10.13,"40,214",42,"67,313","165,565"
,0.04%,0.11%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.03%,-0.02%,0.07%,-0.05%,,,,,40.21%,28.71%,67.31%,165.57%
PNC Financial Services(PNC.US),120,178,3.08,-58,0,136.66,27,15,55.56%,12,4,12,2.46,-5,40,-17,127,-36,14.04,21.20,752,5.08,"104,916",120,"81,500","165,565"
,0.12%,0.18%,,-0.06%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.04%,-0.02%,0.13%,-0.04%,,,,,104.92%,87.78%,81.50%,165.57%
Pentair(PNR.US),-9,40,-0.81,-49,0,107.21,28,11,39.29%,17,-0,4,1.25,-3,9,-7,27,-41,12.50,17.73,752,9.12,"-2,849",-9,"67,508","165,565"
,-0.01%,0.04%,,-0.05%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.03%,-0.04%,,,,,-2.85%,-8.62%,67.51%,165.57%
Pinnacle West(PNW.US),1,35,1.04,-34,0,100.83,33,9,27.27%,24,0,4,2.77,-1,8,-3,21,-19,11.12,23.67,752,6.42,219,1,"25,078","165,565"
,0.00%,0.04%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.02%,-0.02%,,,,,0.22%,1.34%,25.08%,165.57%
Insulet(PODD.US),-22,222,-0.91,-243,0,335.73,27,7,25.93%,20,-1,32,2.60,-12,63,-76,170,-111,13.59,23.57,752,10.10,"-14,694",-22,"-39,317","165,565"
,-0.02%,0.22%,,-0.24%,0.00%,,,,,,-0.00%,0.03%,,-0.01%,0.06%,-0.08%,0.17%,-0.11%,,,,,-14.69%,-6.41%,-39.32%,165.57%
Pool(POOL.US),-167,137,-0.45,-304,0,478.29,30,9,30.00%,21,-6,15,1.05,-14,43,-29,70,-208,13.03,22.33,752,9.05,"-39,685",-167,"-31,368","165,565"
,-0.17%,0.14%,,-0.30%,0.00%,,,,,,-0.01%,0.02%,,-0.01%,0.04%,-0.03%,0.07%,-0.21%,,,,,-39.69%,-34.87%,-31.37%,165.57%
PPG(PPG.US),-14,51,-0.79,-64,0,143.24,31,9,29.03%,22,-0,6,1.93,-3,23,-5,27,-46,11.06,18.89,752,7.86,"-12,312",-14,"-22,981","165,565"
,-0.01%,0.05%,,-0.06%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.03%,-0.05%,,,,,-12.31%,-9.43%,-22.98%,165.57%
PPL(PPL.US),7,16,1.89,-8,0,31.57,27,12,44.44%,15,0,1,2.36,-1,4,-1,10,-4,14.81,23.25,752,8.07,"26,347",7,"31,317","165,565"
,0.01%,0.02%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.00%,,,,,26.35%,23.60%,31.32%,165.57%
Prudential Financial(PRU.US),-13,48,-0.79,-61,0,125.99,32,11,34.38%,21,-0,4,1.50,-3,10,-13,29,-42,12.78,19.64,752,9.19,"-9,094",-13,"10,832","165,565"
,-0.01%,0.05%,,-0.06%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.03%,-0.04%,,,,,-9.09%,-10.34%,10.83%,165.57%
Public Storage(PSA.US),35,175,1.25,-140,0,321.75,27,11,40.74%,16,1,16,1.82,-9,45,-28,102,-67,14.15,20.64,752,9.69,"12,219",35,"4,940","165,565"
,0.03%,0.17%,,-0.14%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.04%,-0.03%,0.10%,-0.07%,,,,,12.22%,10.83%,4.94%,165.57%
Paramount Skydance(PSKY.US),-1,6,-0.91,-6,0,16.66,7,2,28.57%,5,-0,3,2.28,-1,3,-2,5,-6,14.14,15.50,752,13.60,"-2,262",-1,"-47,707","165,565"
,-0.00%,0.01%,,-0.01%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.00%,-0.01%,,,,,-2.26%,-3.30%,-47.71%,165.57%
Phillips 66(PSX.US),3,72,1.04,-69,0,176.19,25,10,40.00%,15,0,7,1.56,-5,19,-16,57,-69,15.88,19.90,752,13.20,"1,151",3,"61,344","165,565"
,0.00%,0.07%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.02%,0.06%,-0.07%,,,,,1.15%,1.46%,61.34%,165.57%
PTC(PTC.US),5,88,1.06,-83,0,203.94,29,11,37.93%,18,0,8,1.73,-5,32,-10,71,-44,13.24,15.55,752,11.83,"2,376",5,"11,587","165,565"
,0.00%,0.09%,,-0.08%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.03%,-0.01%,0.07%,-0.04%,,,,,2.38%,2.43%,11.59%,165.57%
Quanta Services(PWR.US),104,345,1.43,-241,0,510.11,34,12,35.29%,22,3,29,2.62,-11,74,-31,146,-92,13.32,23.25,752,7.91,"36,203",104,"268,018","165,565"
,0.10%,0.34%,,-0.24%,0.00%,,,,,,0.00%,0.03%,,-0.01%,0.07%,-0.03%,0.15%,-0.09%,,,,,36.20%,20.32%,268.02%,165.57%
PayPal(PYPL.US),-5,52,-0.91,-57,0,86.77,34,11,32.35%,23,-0,5,1.90,-2,11,-6,17,-21,13.12,23.64,752,8.09,"-1,354",-5,"-31,165","165,565"
,-0.01%,0.05%,,-0.06%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.02%,,,,,-1.35%,-6.06%,-31.17%,165.57%
Qnity(Q.US),20,25,5.16,-5,0,118.72,3,2,66.67%,1,7,13,2.58,-5,17,-5,49,-28,30.67,18.00,117,56.00,"16,637",20,"42,092","165,565"
,0.02%,0.03%,,-0.00%,0.00%,,,,,,0.01%,0.01%,,-0.00%,0.02%,-0.00%,0.05%,-0.03%,,,,,16.64%,17.16%,42.09%,165.57%
QUALCOMM(QCOM.US),-15,104,-0.87,-120,0,173.68,28,12,42.86%,16,-1,9,1.16,-7,36,-26,77,-83,14.32,19.58,752,10.38,"-8,702",-15,"15,490","165,565"
,-0.02%,0.10%,,-0.12%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.04%,-0.03%,0.08%,-0.08%,,,,,-8.70%,-8.74%,15.49%,165.57%
Royal Caribbean Cruises(RCL.US),222,326,3.14,-104,0,151.5,33,22,66.67%,11,7,15,1.57,-9,65,-26,271,-56,13.76,17.77,752,5.73,"255,648",222,"322,859","165,565"
,0.22%,0.33%,,-0.10%,0.00%,,,,,,0.01%,0.01%,,-0.01%,0.07%,-0.03%,0.27%,-0.06%,,,,,255.65%,146.78%,322.86%,165.57%
Regency Centers(REG.US),4,26,1.18,-22,0,76.91,30,11,36.67%,19,0,2,2.04,-1,10,-3,15,-13,12.37,21.82,752,6.89,"4,524",4,"30,084","165,565"
,0.00%,0.03%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.01%,-0.01%,,,,,4.52%,5.20%,30.08%,165.57%
Regeneron Pharmaceuticals(REGN.US),132,610,1.28,-478,0,871.24,28,11,39.29%,17,5,55,1.97,-28,152,-62,376,-288,14.54,22.45,752,9.41,"7,428",132,"-6,728","165,565"
,0.13%,0.61%,,-0.48%,0.00%,,,,,,0.00%,0.06%,,-0.03%,0.15%,-0.06%,0.38%,-0.29%,,,,,7.43%,15.14%,-6.73%,165.57%
Regions Financial(RF.US),13,24,2.31,-10,0,18.68,28,15,53.57%,13,0,2,2.00,-1,4,-4,14,-4,14.79,21.40,752,7.15,"80,552",13,"56,029","165,565"
,0.01%,0.02%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.00%,,,,,80.55%,71.84%,56.03%,165.57%
Raymond James(RJF.US),21,93,1.30,-71,0,155.4,29,14,48.28%,15,1,7,1.39,-5,18,-16,36,-28,13.79,19.43,752,8.53,"24,250",21,"61,143","165,565"
,0.02%,0.09%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.02%,0.04%,-0.03%,,,,,24.25%,13.76%,61.14%,165.57%
Ralph Lauren(RL.US),36,241,1.17,-206,0,339.44,34,12,35.29%,22,1,20,2.15,-9,72,-24,100,-72,12.03,19.00,752,8.23,"26,190",36,"226,169","165,565"
,0.04%,0.24%,,-0.21%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.07%,-0.02%,0.10%,-0.07%,,,,,26.19%,10.54%,226.17%,165.57%
ResMed(RMD.US),-9,109,-0.92,-118,0,268.35,21,7,33.33%,14,-0,16,1.85,-8,55,-29,99,-64,16.24,21.14,752,13.79,"-10,090",-9,"-2,614","165,565"
