商品統計表,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
商品名稱,淨利,毛利,獲利因子,毛損,總交易成本,最大投入金額,總交易次數,獲利交易次數,勝率,虧損交易次數,平均交易,平均獲利交易,平均獲利虧損比,平均虧損交易,最大獲利交易,最大虧損交易,最大區間獲利,最大區間虧損,全部交易的平均持倉K線根數,獲利交易的平均持倉K線根數,回測K線根數,虧損交易的平均持倉K線根數,時間加權報酬,最大投入報酬率,買進持有報酬,大盤指數報酬
,-0.01%,0.02%,,-0.02%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.02%,,,,,-22.18%,-15.90%,-29.62%,165.57%
Domino’s Pizza(DPZ.US),34,289,1.14,-254,0,444.42,31,9,29.03%,22,1,32,2.78,-12,94,-26,160,-98,13.32,23.56,752,9.14,"12,867",34,"10,200","165,565"
,0.03%,0.29%,,-0.25%,0.00%,,,,,,0.00%,0.03%,,-0.01%,0.09%,-0.03%,0.16%,-0.10%,,,,,12.87%,7.74%,10.20%,165.57%
Darden Restaurants(DRI.US),-32,66,-0.67,-98,0,244.6,31,10,32.26%,21,-1,7,1.41,-5,14,-14,38,-76,13.42,20.70,752,9.95,"-15,782",-32,"31,401","165,565"
,-0.03%,0.07%,,-0.10%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.01%,-0.01%,0.04%,-0.08%,,,,,-15.78%,-13.16%,31.40%,165.57%
DTE Energy(DTE.US),19,55,1.55,-36,0,128.31,32,8,25.00%,24,1,7,4.64,-1,12,-4,33,-17,11.78,25.63,752,7.17,"17,205",19,"26,249","165,565"
,0.02%,0.06%,,-0.04%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.01%,-0.00%,0.03%,-0.02%,,,,,17.20%,15.17%,26.25%,165.57%
Duke Energy(DUK.US),26,52,1.99,-26,0,108.73,28,11,39.29%,17,1,5,3.08,-2,12,-4,35,-19,15.75,28.09,752,7.76,"27,953",26,"27,028","165,565"
,0.03%,0.05%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.04%,-0.02%,,,,,27.95%,23.77%,27.03%,165.57%
DaVita(DVA.US),63,131,1.93,-68,0,117.64,25,10,40.00%,15,3,13,2.89,-5,36,-9,82,-56,15.60,24.50,752,9.67,"70,363",63,"77,253","165,565"
,0.06%,0.13%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.04%,-0.01%,0.08%,-0.06%,,,,,70.36%,53.40%,77.25%,165.57%
Devon Energy(DVN.US),1,29,1.02,-29,0,55.33,28,9,32.14%,19,0,3,2.16,-2,11,-4,18,-13,14.32,22.11,752,10.63,"4,096",1,"-11,975","165,565"
,0.00%,0.03%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.02%,-0.01%,,,,,4.10%,1.17%,-11.97%,165.57%
DexCom(DXCM.US),-74,75,-0.50,-149,0,141.8,25,7,28.00%,18,-3,11,1.30,-8,35,-48,45,-99,18.84,31.14,752,14.06,"-58,749",-74,"-49,142","165,565"
,-0.07%,0.08%,,-0.15%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.03%,-0.05%,0.05%,-0.10%,,,,,-58.75%,-52.06%,-49.14%,165.57%
Electronic Arts(EA.US),-10,59,-0.86,-69,0,212.3,27,9,33.33%,18,-0,7,1.72,-4,16,-24,29,-47,11.96,24.78,752,5.56,"-7,503",-10,"57,670","165,565"
,-0.01%,0.06%,,-0.07%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.02%,-0.02%,0.03%,-0.05%,,,,,-7.50%,-4.61%,57.67%,165.57%
eBay Inc.(EBAY.US),18,55,1.51,-36,0,93.94,31,10,32.26%,21,1,5,3.16,-2,13,-6,35,-18,14.03,19.60,752,11.38,"13,753",18,"144,062","165,565"
,0.02%,0.05%,,-0.04%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.01%,-0.01%,0.04%,-0.02%,,,,,13.75%,19.53%,144.06%,165.57%
Ecolab(ECL.US),70,124,2.28,-54,0,208.06,31,12,38.71%,19,2,10,3.61,-3,33,-7,100,-34,12.29,21.42,752,6.53,"40,793",70,"61,084","165,565"
,0.07%,0.12%,,-0.05%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.03%,-0.01%,0.10%,-0.03%,,,,,40.79%,33.42%,61.08%,165.57%
Consolidated Edison(ED.US),10,43,1.30,-33,0,103.45,30,10,33.33%,20,0,4,2.59,-2,11,-4,28,-15,12.70,23.90,752,7.10,"12,545",10,"9,002","165,565"
,0.01%,0.04%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.03%,-0.01%,,,,,12.55%,9.53%,9.00%,165.57%
Equifax(EFX.US),-21,147,-0.87,-168,0,280.67,25,8,32.00%,17,-1,18,1.86,-10,68,-35,87,-104,15.44,21.25,752,12.71,"-6,293",-21,"-12,176","165,565"
,-0.02%,0.15%,,-0.17%,0.00%,,,,,,-0.00%,0.02%,,-0.01%,0.07%,-0.04%,0.09%,-0.10%,,,,,-6.29%,-7.60%,-12.18%,165.57%
Everest Group(EG.US),-69,128,-0.65,-197,0,428.27,31,11,35.48%,20,-2,12,1.18,-10,26,-22,47,-152,11.68,18.18,752,8.10,"-17,547",-69,"-7,038","165,565"
,-0.07%,0.13%,,-0.20%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.03%,-0.02%,0.05%,-0.15%,,,,,-17.55%,-16.11%,-7.04%,165.57%
Edison International(EIX.US),18,44,1.67,-26,0,74.91,28,9,32.14%,19,1,5,3.52,-1,12,-4,32,-12,16.39,31.00,752,9.47,"28,452",18,"-5,037","165,565"
,0.02%,0.04%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.03%,-0.01%,,,,,28.45%,23.44%,-5.04%,165.57%
Estee Lauder(EL.US),8,111,1.08,-103,0,190,26,9,34.62%,17,0,12,2.04,-6,27,-10,53,-67,15.92,22.33,752,12.53,"31,739",8,"-70,000","165,565"
,0.01%,0.11%,,-0.10%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.03%,-0.01%,0.05%,-0.07%,,,,,31.74%,4.21%,-70.00%,165.57%
Elevance Health(ELV.US),-64,243,-0.79,-307,0,593.67,29,13,44.83%,16,-2,19,0.97,-19,33,-58,95,-156,15.86,21.77,752,11.06,"-7,282",-64,"-27,357","165,565"
,-0.06%,0.24%,,-0.31%,0.00%,,,,,,-0.00%,0.02%,,-0.02%,0.03%,-0.06%,0.10%,-0.16%,,,,,-7.28%,-10.76%,-27.36%,165.57%
EMCOR Group(EME.US),220,528,1.72,-308,0,638.9,29,13,44.83%,16,8,41,2.11,-19,111,-73,289,-172,12.90,20.54,752,6.69,"94,634",220,"443,856","165,565"
,0.22%,0.53%,,-0.31%,0.00%,,,,,,0.01%,0.04%,,-0.02%,0.11%,-0.07%,0.29%,-0.17%,,,,,94.63%,34.49%,443.86%,165.57%
Emerson Electric(EMR.US),17,67,1.33,-50,0,141.41,28,11,39.29%,17,1,6,2.06,-3,17,-8,37,-25,11.36,17.73,752,7.24,"13,229",17,"66,573","165,565"
,0.02%,0.07%,,-0.05%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.04%,-0.02%,,,,,13.23%,11.85%,66.57%,165.57%
"EOG Resources, Inc.(EOG.US)",-17,41,-0.71,-59,0,144.29,24,7,29.17%,17,-1,6,1.72,-3,14,-7,24,-32,12.67,19.14,752,10.00,"-14,911",-17,"14,671","165,565"
,-0.02%,0.04%,,-0.06%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.01%,-0.01%,0.02%,-0.03%,,,,,-14.91%,-11.95%,14.67%,165.57%
EPAM Systems(EPAM.US),-51,194,-0.79,-245,0,312.55,20,9,45.00%,11,-3,22,0.97,-22,53,-97,120,-107,20.65,26.00,752,16.27,"-30,609",-51,"-53,904","165,565"
,-0.05%,0.19%,,-0.25%,0.00%,,,,,,-0.00%,0.02%,,-0.02%,0.05%,-0.10%,0.12%,-0.11%,,,,,-30.61%,-16.23%,-53.90%,165.57%
Equinix(EQIX.US),92,490,1.23,-397,0,997.76,31,12,38.71%,19,3,41,1.95,-21,130,-47,261,-206,12.35,19.50,752,7.84,"11,372",92,"55,310","165,565"
,0.09%,0.49%,,-0.40%,0.00%,,,,,,0.00%,0.04%,,-0.02%,0.13%,-0.05%,0.26%,-0.21%,,,,,11.37%,9.25%,55.31%,165.57%
Equity Residential(EQR.US),-1,25,-0.97,-26,0,66.06,26,12,46.15%,14,-0,2,1.13,-2,6,-3,18,-17,15.15,24.33,752,7.29,-173,-1,276,"165,565"
,-0.00%,0.03%,,-0.03%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.02%,-0.02%,,,,,-0.17%,-1.36%,0.28%,165.57%
EQT(EQT.US),-9,30,-0.76,-39,0,77.16,34,11,32.35%,23,-0,3,1.59,-2,9,-6,18,-26,13.79,22.73,752,9.52,"-22,935",-9,"80,566","165,565"
,-0.01%,0.03%,,-0.04%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.03%,,,,,-22.93%,-12.14%,80.57%,165.57%
Erie Indemnity(ERIE.US),-40,323,-0.89,-363,0,360.01,29,8,27.59%,21,-1,40,2.34,-17,128,-147,309,-343,14.07,23.88,752,10.33,"2,492",-40,"9,232","165,565"
,-0.04%,0.32%,,-0.36%,0.00%,,,,,,-0.00%,0.04%,,-0.02%,0.13%,-0.15%,0.31%,-0.34%,,,,,2.49%,-11.12%,9.23%,165.57%
Eversource Energy(ES.US),-8,26,-0.77,-34,0,83.62,24,9,37.50%,15,-0,3,1.28,-2,7,-4,13,-17,16.63,27.89,752,9.87,"-12,109",-8,"-15,084","165,565"
,-0.01%,0.03%,,-0.03%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.01%,-0.02%,,,,,-12.11%,-9.50%,-15.08%,165.57%
"Essex Property Trust, Inc.(ESS.US)",12,138,1.09,-126,0,261.83,33,13,39.39%,20,0,11,1.68,-6,31,-29,95,-65,13.79,20.69,752,9.30,"3,330",12,"17,901","165,565"
,0.01%,0.14%,,-0.13%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.03%,-0.03%,0.09%,-0.06%,,,,,3.33%,4.42%,17.90%,165.57%
Eaton(ETN.US),118,286,1.70,-168,0,336.69,30,13,43.33%,17,4,22,2.22,-10,50,-41,137,-112,13.43,19.00,752,9.18,"44,335",118,"154,282","165,565"
,0.12%,0.29%,,-0.17%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.05%,-0.04%,0.14%,-0.11%,,,,,44.34%,35.06%,154.28%,165.57%
Entergy(ETR.US),23,53,1.77,-30,0,91.61,36,14,38.89%,22,1,4,2.78,-1,13,-3,32,-15,11.00,19.79,752,5.41,"30,498",23,"103,126","165,565"
